
   label volume  com_x  com_y  com_z com_in bb_dx bb_dy bb_dz  bb_dmin  bb_volume fill_factor
0    1.0  2,415   51.0   56.0   65.0      0    37    50    36     36.0 66,600.000      0.0363
1    2.0      3   42.0   66.0   66.0      1     1     2     2      1.0      4.000        0.75
2    3.0    150   47.0  136.0   57.0      0     5     7     9      5.0    315.000       0.476
3    4.0     30   56.0   91.0   95.0      1     3     4     6      3.0     72.000       0.417
4    5.0     44   68.0   76.0   94.0      1     4     4     5      4.0     80.000        0.55
5    6.0      7   68.0  107.0   94.0      1     2     2     3      2.0     12.000       0.583
6    7.0     43   71.0  138.0   73.0      1     4     4     6      4.0     96.000       0.448
7    8.0     36   70.0  143.0   78.0      1     3     4     6      3.0     72.000         0.5
8    9.0     61   72.0  148.0   93.0      1     5     5     5      5.0    125.000       0.488
9   10.0     27   75.0  135.0   98.0      1     4     5     4      4.0     80.000       0.338

    label  volume  com_x  com_y  com_z com_in  bb_dx  bb_dy  bb_dz  bb_dmin  bb_volume  fill_factor
0     1.0  2415.0   51.0   56.0   65.0  False   37.0   50.0   36.0     36.0    66600.0     0.036261
1     2.0     3.0   42.0   66.0   66.0   True    1.0    2.0    2.0      1.0        4.0     0.750000
2     3.0   150.0   47.0  136.0   57.0  False    5.0    7.0    9.0      5.0      315.0     0.476190
3     4.0    30.0   56.0   91.0   95.0   True    3.0    4.0    6.0      3.0       72.0     0.416667
4     5.0    44.0   68.0   76.0   94.0   True    4.0    4.0    5.0      4.0       80.0     0.550000
5     6.0     7.0   68.0  107.0   94.0   True    2.0    2.0    3.0      2.0       12.0     0.583333
6     7.0    43.0   71.0  138.0   73.0   True    4.0    4.0    6.0      4.0       96.0     0.447917
7     8.0    36.0   70.0  143.0   78.0   True    3.0    4.0    6.0      3.0       72.0     0.500000
8     9.0    61.0   72.0  148.0   93.0   True    5.0    5.0    5.0      5.0      125.0     0.488000
9    10.0    27.0   75.0  135.0   98.0   True    4.0    5.0    4.0      4.0       80.0     0.337500
10   11.0    20.0   79.0  100.0  106.0   True    3.0    3.0    4.0      3.0       36.0     0.555556
11   12.0   173.0   93.0   80.0  104.0   True    7.0    7.0    7.0      7.0      343.0     0.504373
12   13.0    28.0   92.0   57.0   85.0   True    3.0    4.0    4.0      3.0       48.0     0.583333
13   14.0    48.0   94.0  148.0   92.0   True    5.0    5.0    5.0      5.0      125.0     0.384000
14   15.0   477.0  102.0  142.0   81.0  False    7.0   10.0   17.0      7.0     1190.0     0.400840
15   16.0    59.0  102.0   80.0   85.0   True    4.0    4.0    7.0      4.0      112.0     0.526786
16   17.0    18.0  108.0   92.0   85.0   True    2.0    3.0    5.0      2.0       30.0     0.600000
17   18.0    59.0  129.0  122.0   45.0   True    4.0    5.0    8.0      4.0      160.0     0.368750
18   19.0    10.0  133.0  118.0   68.0   True    3.0    2.0    2.0      2.0       12.0     0.833333

